State,City,Header,Description,Link
Oregon,Hillsboro,Hillsboro Campus,Aligned Data CentersNE 30th Ave & NE Evergreen Rd97124 Hillsboro,/usa/oregon/hillsboro/hillsboro-campus/
Oregon,Hillsboro,STACK Infrastructure POR01,STACK INFRASTRUCTURE3145 NE Brookwood Pkwy97124 Hillsboro,/usa/oregon/hillsboro/stack-infrastructure-por01/
Oregon,Hillsboro,QTS Hillsboro 2 Campus,QTS Data Centers4755 NE Huffman Street97124 Hillsboro,/usa/oregon/hillsboro/qts-hillsboro2-campus/
Oregon,Baker City,Synergy Data Center & Services,Synergy Data Center & Services1650 Dewey Ave97814 Baker City,/usa/oregon/baker-city/synergy-data-center--services/
Oregon,Corvallis,Kattare CVO,Kattare Inc.5010 SW HOUT ST97333 Corvallis,/usa/oregon/corvallis/kattare-cvo/
Oregon,Bandon,Lumen Bandon,Lumen96614 Wickizer Way97411 Bandon,/usa/oregon/bandon/level3-bandon/
Oregon,Prineville,Meta Prineville Data Center,META735 SW Connect Way97754 Prineville,/usa/oregon/prineville/meta-prineville-data-center/
Oregon,The Dalles,Google The Dalles Data Center,Google4200 Columbia Rd97058 The Dalles,/usa/oregon/the-dalles/google-the-dalles/
Oregon,Umatilla,SDC Umatilla,Sabey Data Center Properties LLCBeach Access Road97882 Umatilla,/usa/oregon/umatilla/sdc-umatilla/
Florida,Tampa,Hivelocity - Tampa 2,Hivelocity5908 Hampton Oaks Parkway33610 Tampa,/usa/florida/tampa/hivelocity-tpa2/
Florida,Tampa,Hivelocity - Tampa 1,Hivelocity8010 Woodland Center Blvd.33614 Tampa,/usa/florida/tampa/hivelocity/
Florida,Tampa,Flexential Tampa - West Data Center,Flexential9417 Corporate Lake Drive33634 Tampa,/usa/florida/tampa/flexential-tampa-west/
Florida,Tampa,Cologix LAK1,Cologix2850 Interstate Drive33805 Lakeland,/usa/florida/tampa/cologix-lakeland/
Florida,Tampa,Flexential Tampa - North Data Center,Flexential8350 Parkedge Drive33637 Tampa,/usa/florida/tampa/flexential-tampa/
Florida,Tampa,Centersquare - Tampa TPA1,Centersquare9310 Florida Palm Dr.33619 Tampa,/usa/florida/tampa/cyxtera-tpa1/
Florida,Tampa,E Solutions,WOW Business/E Solutions400 North Tampa Street33602 Tampa,/usa/florida/tampa/e-solutions-corporation/
Florida,Tampa,Datatech Hosting Tampa,Data-Tech7904 Hopi Place33634 Tampa,/usa/florida/tampa/datatech-hosting/
Florida,Tampa,365 Data Centers - Tampa,365 Data Centers655 N Franklin St.33602 Tampa,/usa/florida/tampa/switchdata-tampa/
Florida,Tampa,Lumen Tampa 1,Lumen7909 Woodland Center Blvd33614 Tampa,/usa/florida/tampa/level3-tampa/
Florida,Tampa,OneColo,OneColo610 N Morgan St33602 Tampa,/usa/florida/tampa/onecolo/
Florida,Tampa,Lumen Tampa 3,Lumen1700 N 25th Street33605 Tampa,/usa/florida/tampa/level3-tampa3/
Florida,Tampa,Lumen Tampa 4,Lumen400 North Tampa Street33602 Tampa,/usa/florida/tampa/twtc-tampa/
Florida,Tampa,Lumen Tampa 2,Lumen59007 Hampton Oaks Parkway33610 Tampa,/usa/florida/tampa/level3-tampa2/
Florida,Tampa,Tampa Enterprise Data Center,Tampa Enterprise Data Center1309 North Ward St.33607 Tampa,/usa/florida/tampa/tampa-enterprise-dc/
Florida,Tampa,Hostway Tampa,"Hostway Services, Inc412 East Madison Avenue33602 Tampa",/usa/florida/tampa/hostway-tampa/
Florida,Tampa,Cogent Tampa,"Cogent Communications, Inc.400 N Tampa St33602 Tampa",/usa/florida/tampa/cogent-tampa/
Florida,Tampa,IT Support Guys - Tampa,IT Support Guys2709 N Rocky Point Dr33607 Tampa,/usa/florida/tampa/itsupportguys-tampa/
Florida,Tampa,Hostway Tampa Franklin,"Hostway Services, Inc655 N Franklin St33602 Tampa",/usa/florida/tampa/hostway-tampa-franklin/
Florida,Tampa,Synergy ISP,Synergy ISP4465 West Gandy33611 Tampa,/usa/florida/tampa/synergy-isp/
Florida,Tampa,Acehost Tampa,Acehost203 Marion St33602 Tampa,/usa/florida/tampa/acehost-tampa/
Florida,Tampa,Park Tower,Sterling American Property Inc400 North Tampa Street33602 Tampa,/usa/florida/tampa/park-tower/
Florida,Tampa,655 North Franklin,The Wilson Company655 North Franklin Street33602 Tampa,/usa/florida/tampa/655-north-franklin/
Florida,Tampa,XO Tampa,XO Communications5904-A Hampton Oaks Pkwy33610 Tampa,/usa/florida/tampa/xo-tampa/
Florida,Tampa,Acehost.com,Acehost412 E Madison St suite 101033602 Tampa,/usa/florida/tampa/acehostcom/
Florida,Miami,36 NE 2nd St (MIA10),Digital Realty36 NE 2nd Street33132 Miami,/usa/florida/miami/36ne-2nd-street/
Florida,Miami,Hivelocity - Miami 1,Hivelocity50 NE 9th St33132 Miami,/usa/florida/miami/hivelocity-miami-1/
Florida,Miami,2300 NW 89th Pl (MIA11),Digital Realty2300 NW 89th Pl33172 Miami,/usa/florida/miami/2300nw-89th-pl/
Florida,Miami,Equinix MI1 (NAP of the Americas),Equinix50 NE 9th Street33132 Miami,/usa/florida/miami/terremark-miami/
Florida,Miami,CoreSite Miami (MI1),CoreSite2115 NW 22nd Street33142 Miami,/usa/florida/miami/miami-exchange/
Florida,Miami,ColoHouse Miami,ColoHouse36 NE 2nd Street33132 Miami,/usa/florida/miami/colohouse/
Florida,Miami,KeyCenter,TELEFONICA US11300 NW 25th Street33172 Miami,/usa/florida/miami/telefonica-keycenter/
Florida,Miami,Volico Miami 2,Volico Data Center36 NE 2nd St33132 Miami,/usa/florida/miami/volico-data-center/
Florida,Miami,QTS Miami,QTS Data Centers11234 NW 20th St.33172 Miami,/usa/florida/miami/quality-miami-data-center/
Florida,Miami,MIA2,Raeden200 SE 1st St33131 Miami,/usa/florida/miami/mia2/
Florida,Miami,EdgeConneX Miami - EDCMIA02,EdgeConneX475 NE 185th St.33179 Miami Gardens,/usa/florida/miami/edgeconnex-edcmia02/
Florida,Miami,DataBank MIA1 - Downtown Miami,DataBank36 NE 2nd St33132 Miami,/usa/florida/miami/zcolo-36ne-2nd/
Florida,Miami,EdgeConneX Miami - EDCMIA01,EdgeConneX2132 NW 114th Ave33172 Miami,/usa/florida/miami/edcmia01/
Florida,Miami,Colocation America MiamiDC1,Colocation America36 NE 2nd St33132 Miami,/usa/florida/miami/colocation-america-miamidc1/
Florida,Miami,Volico Miami 1,Volico Data Center100N Biscayne Blvd33137 Miami,/usa/florida/miami/volico-miami-1/
Florida,Miami,Equinix MI6,"Equinix1525 NW 98th Court, International Corporate Park33172 Doral",/usa/florida/miami/equinix-mi6/
Florida,Miami,Key Center,Nabiax11300 NW 25th Street33172 Miami,/usa/florida/miami/nabiax-key-center/
Florida,Miami,IPXON Miami,IPXON Networks50 NE 9th St33132 Miami,/usa/florida/miami/ipxon-miami/
Florida,Miami,Equinix MI2,Equinix36 Northeast Second Street33132 Miami,/usa/florida/miami/switchdata-miami-36ne/
Florida,Miami,Lumen Miami 4,Lumen50 NE 9th St33132 Miami,/usa/florida/miami/lumen-miami-4/
Florida,Miami,Lumen Miami 5,Lumen1109 NW 22nd St33127 Miami,/usa/florida/miami/lumen-miami-5/
Florida,Miami,Aptum Miami,Aptum2300 NW 89th Pl33172 Miami,/usa/florida/miami/peer-1-miami/
Florida,Miami,NocRoom Miami Colocation and VPS,NocRoom Miami Colocation VPS36 NE 2nd Street33132 Miami,/usa/florida/miami/switchmia/
Florida,Miami,Navegalo Miami Data Center,Navegalo36 NE 2nd Street33132 Miami,/usa/florida/miami/rack-lodge-miami/
Florida,Miami,Lumen Miami 3,Lumen200 SE First Street33131 Miami,/usa/florida/miami/level3-miami3/
Florida,Miami,Lumen Miami,Lumen49 N.W. 5th Street33128 Miami,/usa/florida/miami/level3-miami/
Florida,Miami,Cogent Miami,"Cogent Communications, Inc.200 SE 1st St33131 Miami",/usa/florida/miami/cogent-miami/
Florida,Miami,Net Data,Nettalk .Com Inc.1080 NW 163rd Drive33169 Miami,/usa/florida/miami/net-data/
Florida,Miami,Miami-Connect,"Miami-Connect, LLC100 N.Biscayne Blvd.33132 Miami",/usa/florida/miami/nwt-data-center/
Florida,Miami,Interconnect Miami,Interconnect Miami36 NE 2nd Street33132 Miami,/usa/florida/miami/interconnect-miami/
