State,City,Operator,Header,Address,lat,lng,Link
Wisconsin,Kenosha,OFFSITE,OFFSITE,"3618 8th Avenue, Kenosha, CA 53140",42.6038043,-87.8222527,/usa/wisconsin/kenosha/offsite/
Wisconsin,Appleton,Heartland Business System,Heartlands Data Center,"1700 Stephen St., Little Chute, CA 54311",44.2970048,-88.2952993,/usa/wisconsin/appleton/heartlands/
Wisconsin,Appleton,RMM Solutions,RMM Solutions - Appleton,"2201 E Enterprise Avenue, Appleton, CA 54913",44.2988515,-88.3707915,/usa/wisconsin/appleton/tushaus-appleton/
Wisconsin,Green Bay,WIN Technology,WIN - Green Bay Data Center,"417 Pine St, Green Bay, CA 54301",44.5152378,-88.0112792,/usa/wisconsin/green-bay/win-green-bay-dc/
Wisconsin,Green Bay,Netsonic,Netsonic,"1263 Main Street, Green Bay, CA 54302",44.511407,-87.9968095,/usa/wisconsin/green-bay/netsonic/
Wisconsin,Eau Claire,WIN Technology,WIN - Eau Claire Data Center,"800 Wisconsin Street, Eau Claire, CA 54703",44.8159644,-91.4937813,/usa/wisconsin/eau-claire/win-eau-claire-data-center/
Wisconsin,Marshfield,Aventus Data Centers,Aventus 715,"901 Commerce Dr, Marshfield, CA 54449",44.6326109,-90.168593,/usa/wisconsin/marshfield/aventus-715/
Pennsylvania,Pittsburgh,Iron Mountain Data Centers,Iron Mountain Data Centers WPA-1,"1137 Branchton Road, Boyers, CA 16020",41.0920922,-79.9121426,/usa/pennsylvania/pittsburgh/iron-mountain-wpa-1/
Pennsylvania,Pittsburgh,Involta,Involta Pittsburgh,"161 Armstrong Drive, Freeport, CA 16229",40.6739543,-79.6847703,/usa/pennsylvania/pittsburgh/involta-pittsburgh/
Pennsylvania,Pittsburgh,EdgeConneX,EdgeConneX Pittsburgh - EDCPIT01,"282 Corliss St, Pittsburgh, CA 15220",36.778261,-119.4179324,/usa/pennsylvania/pittsburgh/edcpit01/
Pennsylvania,Pittsburgh,H5 Data Centers,H5 Data Centers Pittsburgh,"5 Data Centers2202 Liberty Ave, Pittsburgh, CA 15222",40.4516548,-79.9809222,/usa/pennsylvania/pittsburgh/h5-pittsburgh/
Pennsylvania,Pittsburgh,DataBank,DataBank PIT2 - Summit Park,"35 Summit Park Dr, Pittsburgh, CA 15275",38.0279762,-121.8846806,/usa/pennsylvania/pittsburgh/databank-pit2-summit-park/
Pennsylvania,Pittsburgh,DataBank,DataBank PIT1 - Downtown Pittsburgh,"100 South commons, Pittsburgh, CA 15212",40.4406248,-79.9958864,/usa/pennsylvania/pittsburgh/databank-pittsburgh/
Pennsylvania,Pittsburgh,Expedient Pittsburgh A,Expedient Pittsburgh ACM,"1 Allegheny Center Mall, Pittsburgh, CA 15212",36.778261,-119.4179324,/usa/pennsylvania/pittsburgh/expedient-pittsburgh-acm/
Pennsylvania,Pittsburgh,Expedient Data Centers,Expedient Pittsburgh North Shore,"100 S Commons, Pittsburgh, CA 15212",40.4406248,-79.9958864,/usa/pennsylvania/pittsburgh/expedient-pittsburgh-north-shore/
Pennsylvania,Pittsburgh,Lumen,Lumen Pittsburgh 2,"200 Technology Dr, Pittsburgh, CA 15219",40.4406248,-79.9958864,/usa/pennsylvania/pittsburgh/lumen-pittsburgh-2/
Pennsylvania,Pittsburgh,Lumen,Lumen Pittsburgh 1,"143 25th Street, Pittsburgh, CA 15023",40.4406248,-79.9958864,/usa/pennsylvania/pittsburgh/level3-pittsburgh1/
Pennsylvania,Pittsburgh,Expedient Data Centers,Expedient  Pittsburgh South,"810 Parish Street, Pittsburgh, CA 15220",40.4273503,-80.0424572,/usa/pennsylvania/pittsburgh/expedient-pittsburgh/
Pennsylvania,Pittsburgh,Ascent Data,Ascent Data,"90 Beta Drive, Pittsburgh, CA 15238",36.778261,-119.4179324,/usa/pennsylvania/pittsburgh/ascent-data/
